timestamp,method,epochs,lr,weight_decay,alpha,alpha_start,alpha_end,c,auto_scale_c,c_scale,grad_clip,seed,acc,truth_ratio,mia_acc
2025-11-06T10:02:26.490522,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,2.0,0,2.0,0.5,42,0.8868,0.9733080267906189,0.5617
2025-11-06T10:03:26.807694,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,2.0,0,2.0,0.5,1337,0.7434,0.7263974547386169,0.5061
2025-11-06T10:04:23.917673,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,2.0,0,2.0,1.0,42,0.8872,0.9772284030914307,0.569
2025-11-06T10:05:24.958968,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,2.0,0,2.0,1.0,1337,0.7482,0.7229412198066711,0.4957000000000001
2025-11-06T10:06:23.769943,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,2.0,0,3.0,0.5,42,0.885,0.9742584824562073,0.5631999999999999
2025-11-06T10:07:25.596956,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,2.0,0,3.0,0.5,1337,0.7426,0.7133604884147644,0.4949
2025-11-06T10:08:22.787820,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,2.0,0,3.0,1.0,42,0.8862,0.9775117039680481,0.5652
2025-11-06T10:09:24.269507,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,2.0,0,3.0,1.0,1337,0.7384,0.7176737785339355,0.48629999999999995
2025-11-06T10:10:24.559324,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,2.0,1,2.0,0.5,42,0.8848,0.973588764667511,0.5631999999999999
2025-11-06T10:11:28.167316,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,2.0,1,2.0,0.5,1337,0.7414,0.7154628038406372,0.4901
2025-11-06T10:12:29.567748,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,2.0,1,2.0,1.0,42,0.8862,0.9765518307685852,0.5661
2025-11-06T10:13:34.781611,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,2.0,1,2.0,1.0,1337,0.7426,0.7220177054405212,0.4904
2025-11-06T10:14:35.160319,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,2.0,1,3.0,0.5,42,0.8858,0.9749186635017395,0.5650000000000001
2025-11-06T10:15:41.586476,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,2.0,1,3.0,0.5,1337,0.7472,0.7278090715408325,0.5055
2025-11-06T10:16:42.887947,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,2.0,1,3.0,1.0,42,0.885,0.9782904982566833,0.5685
2025-11-06T10:17:46.112542,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,2.0,1,3.0,1.0,1337,0.74,0.7220339179039001,0.5078
2025-11-06T10:18:44.250018,rmu,4,0.0003,0.0001,1000.0,-1.0,-1.0,4.0,0,2.0,0.5,42,0.8852,0.9742451310157776,0.5654999999999999
